Age,Lon,Lat,Distance
24.8350,-124.6943,-57.4094,1680.1171
24.8350,-124.6675,-57.3577,1677.0200
24.8350,-124.6407,-57.3122,1674.6511
25.8230,-124.2655,-57.4893,1735.3038
25.8230,-124.2333,-57.4320,1732.1378
25.8230,-124.2073,-57.3900,1730.0902
26.5540,-123.9560,-57.5451,1774.9209
26.5540,-123.9189,-57.4875,1772.2467
27.0270,-123.7361,-57.5822,1802.7586
27.0270,-123.7048,-57.5253,1799.5680
27.0270,-123.6714,-57.4849,1798.4869
26.5540,-123.8803,-57.4466,1771.6768
27.9720,-123.2872,-57.6648,1860.4260
27.9720,-123.2517,-57.6073,1857.6009
27.9720,-123.2169,-57.5680,1856.7958
28.2830,-123.0614,-57.7003,1888.7286
28.2830,-123.0236,-57.6472,1886.6505
28.2830,-122.9870,-57.6071,1885.9483
28.7450,-122.8354,-57.7419,1917.7570
28.7450,-122.7993,-57.6856,1915.1243
28.7450,-122.7655,-57.6491,1914.5437
29.4010,-122.4520,-57.8070,1966.3664
29.4010,-122.4158,-57.7518,1963.8837
29.4010,-122.3817,-57.7127,1963.0342
30.0980,-122.1032,-57.8715,2011.2067
30.0980,-122.0680,-57.8148,2008.4372
30.0980,-122.0320,-57.7742,2007.6194
30.4790,-121.8294,-57.9181,2045.9165
30.4790,-121.7949,-57.8616,2043.1049
30.4790,-121.7602,-57.8233,2042.4174
30.9390,-121.5673,-57.9631,2079.2116
30.9390,-121.5211,-57.9096,2077.9972
30.9390,-121.4804,-57.8714,2077.9626
33.0580,-120.4494,-58.2501,2232.1652
33.0580,-120.3989,-58.1966,2231.4143
33.0580,-120.3515,-58.1580,2232.0417
33.5450,-120.2742,-58.3110,2257.9709
33.5450,-120.2148,-58.2582,2258.2447
33.5450,-120.1698,-58.2190,2258.5559
34.6550,-119.8847,-58.4337,2313.8728
34.6550,-119.8313,-58.3816,2313.5883
34.6550,-119.7923,-58.3448,2313.5325
34.9400,-119.7800,-58.4670,2328.9375
34.9400,-119.7248,-58.4157,2328.9452
34.9400,-119.6850,-58.3804,2329.1516
36.3410,-119.4446,-58.5727,2377.0824
36.3410,-119.3884,-58.5198,2377.0104
36.3410,-119.3463,-58.4814,2377.1082
36.6180,-119.3186,-58.6145,2395.4142
36.6180,-119.2629,-58.5612,2395.2391
36.6180,-119.2207,-58.5236,2395.4313
37.4730,-119.0884,-58.6862,2428.3578
37.4730,-119.0346,-58.6341,2428.1194
37.4730,-119.0016,-58.5951,2427.1668
38.4260,-118.7626,-58.7903,2475.2964
38.4260,-118.7032,-58.7368,2475.5019
38.4260,-118.6577,-58.7003,2476.1699
40.1300,-118.4142,-59.2441,2564.9686
40.1300,-118.3182,-58.9366,2539.8152
40.1300,-118.2649,-58.8816,2539.1859
40.1300,-118.2043,-58.8312,2539.8638
41.3890,-118.0241,-59.3638,2620.5978
40.1300,-117.8518,-58.6315,2554.6437
41.3890,-117.8459,-59.0779,2606.7481
41.3890,-117.7893,-59.0275,2606.9915
41.3890,-117.7394,-58.9895,2607.9609
41.3890,-117.5048,-58.7405,2604.4172
43.7890,-117.1461,-59.6328,2745.7411
43.7890,-116.9754,-59.3542,2731.9225
43.7890,-116.9238,-59.3036,2731.6303
43.7890,-116.8810,-59.2663,2731.9122
43.7890,-116.6149,-59.0181,2731.8277
0.7800,-171.1413,-64.5047,-142.9427
0.7800,-171.0831,-64.4776,-142.4924
0.7800,-171.0238,-64.4493,-143.5110
0.7800,-170.4553,-64.6824,-26.1611
0.7800,-170.3803,-64.6529,-33.0981
0.7800,-170.3274,-64.6309,-40.1209
0.7800,-170.2732,-64.6068,-32.7121
0.7800,-170.1994,-64.5831,-30.2997
0.7800,-170.1192,-64.5640,-30.7608
0.7800,-170.0461,-64.5394,-16.1256
0.7800,-169.9782,-64.5020,-18.2377
43.7890,-156.2506,-68.7897,2312.8677
43.7890,-156.1823,-68.7558,2313.4532
43.7890,-156.1342,-68.7316,2313.7993
41.3890,-156.6450,-68.6095,2234.7710
